Autosomes 1_19,Mitochondrial M,Sex XY,Bgd_Si 350 MeV/n_4,FociPerGy_Si 350 MeV/n_4,Bgd_Si 350 MeV/n_8,FociPerGy_Si 350 MeV/n_8,Bgd_Si 350 MeV/n_24,FociPerGy_Si 350 MeV/n_24,Bgd_Si 350 MeV/n_48,FociPerGy_Si 350 MeV/n_48,Bgd_Ar 350 MeV/n_4,FociPerGy_Ar 350 MeV/n_4,Bgd_Ar 350 MeV/n_8,FociPerGy_Ar 350 MeV/n_8,Bgd_Ar 350 MeV/n_24,FociPerGy_Ar 350 MeV/n_24,Bgd_Ar 350 MeV/n_48,FociPerGy_Ar 350 MeV/n_48,Bgd_Fe 600 MeV/n_4,FociPerGy_Fe 600 MeV/n_4,Bgd_Fe 600 MeV/n_8,FociPerGy_Fe 600 MeV/n_8,Bgd_Fe 600 MeV/n_24,FociPerGy_Fe 600 MeV/n_24,Bgd_Fe 600 MeV/n_48,FociPerGy_Fe 600 MeV/n_48,Bgd_X-ray_4,FociPerGy_X-ray_4,Bgd_X-ray_24,FociPerGy_X-ray_24,Bgd_X-ray_48,FociPerGy_X-ray_48
1,0,0,0.63191685,0.320429889,0.405415864,0.080307859,0.686653688,0.14315862,0.787942565,0.359660172,0.910085682,0.418767987,0.871830565,0.356943784,0.235713183,0.316440507,0.802462729,0.570169859,0.566721889,0.382716125,0.833738751,0.625762556,0.890898021,0.767475885,0.415236811,0.55933493,0.886582847,0.633617621,0.72821216,0.447263545,1.0,0.348412281
1,0,0,0.112535266,0.244464805,1.0,0.993470244,0.37259528,0.73085791,0.39939738,0.075900667,0.194849505,0.288898791,0.770669995,0.005515156,0.17946939,0.801780614,0.307430619,0.450738608,0.575389326,0.191275556,0.489585746,0.813569436,0.149157997,0.073761516,0.333783438,0.020969494,0.619792854,0.345706919,0.650425314,0.728222223,0.700155486,0.845482409
1,0,0,0.100432026,0.339765336,0.028298959,0.182237988,0.263530613,0.724125732,0.507723257,0.182513498,0.31445073,0.993367599,0.247842711,0.809504928,0.322501219,0.291106494,0.993364898,0.283575188,0.511192678,0.24116756,0.400696646,0.020383696,0.180626616,0.056964864,0.076596896,0.000340034,0.012162217,0.022320727,0.401765634,0.113042549,0.093289073,0.097242812
1,0,0,0.045613966,0.580050198,0.417290897,0.075824408,0.229271184,0.04464493,0.867677293,0.019324318,0.199217016,0.623127226,0.753536901,0.117064494,0.553133194,0.65282259,0.131680235,0.29478264,0.716657019,0.015835542,0.91103812,0.29478264,0.339010809,0.018548396,0.468068402,0.027131384,0.7950802,0.112827252,0.896726594,0.387366483,0.890601125,0.309186435
1,0,0,0.000189232,0.431020044,0.002923889,0.377604927,0.006234353,0.178065261,0.002238084,0.003189672,0.000142605,0.342404076,0.002692848,0.154326148,0.61203853,0.966574188,0.735146508,0.228853528,0.268038198,0.054570815,0.406977693,0.939872298,0.136755766,0.08317104,0.54279762,0.351057834,0.762587952,0.646596118,0.820831299,1.0,0.813293176,0.903238531
1,0,0,0.167265063,0.455112402,0.107798815,0.047514482,0.484165158,0.031081468,0.275485501,0.067820987,0.19283816,0.01098918,0.24506307,0.106492195,0.034427439,0.762327306,0.178150818,0.029760526,0.462731324,0.006679949,0.674579063,0.050574704,0.195717684,0.048477212,0.248642698,0.195195324,0.165052754,0.014808216,0.281420154,0.005203818,0.26401857,0.004260224
1,0,0,0.434491767,0.401265209,0.548538236,0.930767481,0.527682384,0.880624554,0.698834335,0.323766215,0.799783156,0.014557846,0.586050096,0.001153353,0.04399875,0.683837865,0.05607687,0.578539253,0.540624412,0.864823734,0.916752692,0.338572404,0.875484449,0.739026659,0.241533091,0.578539253,0.402851179,0.505555181,0.888074409,0.207095026,0.561888836,0.195360243
1,0,0,0.005647852,0.624907271,0.079912446,0.253460991,0.088317634,0.481125203,0.225502834,0.008044314,0.04245605,0.268622606,0.276093183,0.019557688,0.487841205,0.61976415,0.145609395,0.87648085,0.83450219,0.761497263,0.834409133,0.168851242,0.857873999,0.716773367,0.916824184,0.651484226,0.08336838,0.44159087,0.514999905,0.294037181,0.265458656,0.237433266
1,0,0,0.572768288,0.205999989,0.340412891,0.549912175,0.814219636,0.114287947,0.721908552,0.262211173,0.690790431,0.64170428,0.550712625,0.102127304,0.1884124,0.697447252,0.169625708,0.071274409,0.867474055,0.001559373,0.448619187,0.005166482,0.055002098,0.00019932,0.041324319,3.96e-07,0.094894397,0.001028325,0.442636051,0.042673397,0.156511993,0.025785293
1,0,0,0.000476724,0.444046582,0.018787765,0.224603841,0.054625101,0.233291415,0.016185881,0.000798396,0.002621393,0.79732252,0.055511746,0.074695818,1.0,0.87755299,0.594370661,0.260146664,0.347633469,0.07972745,0.733575682,0.86599526,0.15781392,0.07972745,0.739370904,0.235885764,0.687728236,0.424687424,0.954230968,0.591174211,0.882566025,0.769657553
